name,source,gender,wikidata,type
ถนนกรุงธนบุรี,wikidata,-,Q1115291,way
ถนนกลันตัน,wikidata,-,Q185944,way
ถนนเชียงใหม่,wikidata,-,Q233588,way
ถนนเสรีไทย,wikidata,-,Q708957,way
ถนนเสือป่า,wikidata,-,Q8000830,way
ทางบูดาเปสต์,wikidata,-,Q1781,way
ลานคนเมือง,wikidata,-,Q7112429,relation
ถนนพิษณุโลก,wikidata,?,Q2035565;Q538919,way
ถนนรัชดาภิเษก,wikidata,?,Q301290;Q6581521,way
ถนนนราธิวาสราชนครินทร์,wikidata,F,Q466850,way
ถนนนางลิ้นจี่,wikidata,F,Q138674131,way
ถนนบรมราชชนนี,wikidata,F,Q449433,way
"ถนนบรมราชชนนี (ทางขนาน)",wikidata,F,Q449433,way
ถนนพระอาทิตย์,wikidata,F,Q467882,way
ถนนพาหุรัด,wikidata,F,Q4842936,way
ถนนราชินี,wikidata,F,Q467882,way
ถนนวิภาวดีรังสิต,wikidata,F,Q6581644,way
ถนนวิสุทธิกษัตริย์,wikidata,F,Q16139926,way
ถนนศรีนครินทร์,wikidata,F,Q449433,way
ถนนสวรรคโลก,wikidata,F,Q6636851,way
ถนนสิรินธร,wikidata,F,Q1884754,way
ถนนสุพรรณ,wikidata,F,Q6581613,way
ถนนอู่ทองนอก,wikidata,F,Q6636828,way
ถนนอู่ทองใน,wikidata,F,Q6636828,way
ถนนเดโช,wikidata,F,Q138682089,way
ถนนเทพรัตน,wikidata,F,Q1884754,way
ถนนเพชรบุรี,wikidata,F,Q538919,way
ทางคู่ขนานลอยฟ้าบรมราชชนนี,wikidata,F,Q449433,way
"ซอยนราธิวาสราชนครินทร์ 1",wikidata,M,Q4923648,way
"ซอยนราธิวาสราชนครินทร์ 2",wikidata,M,Q4923648,way
ซอยพระยามหาอำมาตย์,wikidata,M,Q97223005,way
ซอยพระยาศรี,wikidata,M,Q13017610,way
ซอยพระยาสิงหเสนี,wikidata,M,Q25538332,way
ซอยพระยาเพชร,wikidata,M,Q13017623,way
ซอยยศเส,wikidata,M,Q138681956,way
"ซอยยศเส 2",wikidata,M,Q138681956,way
"ซอยยศเส 3",wikidata,M,Q138681956,way
ซอยรามบุตรี,wikidata,M,Q13017880,way
"ซอยสุขุมวิท 55",wikidata,M,Q13015416,way
"ซอยสุขุมวิท 63",wikidata,M,Q138683746,way
ซอยสุนทรพิมล,wikidata,M,Q138676047,way
"ซอยหลานหลวง 5",wikidata,M,Q138682039,way
ซอยอนุมานราชธน,wikidata,M,Q4923648,way
"ซอยอนุมานราชธน 1",wikidata,M,Q4923648,way
ซอยอรรถกระวี,wikidata,M,Q138683283,way
"ซอยอรรถกระวี 1",wikidata,M,Q138683283,way
"ซอยอรรถกระวี 3",wikidata,M,Q138683283,way
"ซอยเจริญกรุง 16",wikidata,M,Q138675998,way
"ซอยเจริญกรุง 26",wikidata,M,Q6581491,way
"ซอยเจริญกรุง 28",wikidata,M,Q6581491,way
"ซอยเจริญกรุง 29",wikidata,M,Q13017724,way
"ซอยเจริญกรุง 30",wikidata,M,Q22018760,way
ซอยเจ้าคุณเทเวศร,wikidata,M,Q20564533,way
ซอยเจ้าพระยาศรีพิพัฒน์,wikidata,M,Q25538407,way
"ซอยเยาวราช 11",wikidata,M,Q138675998,way
"ซอยเยาวราช 6",wikidata,M,Q138675998,way
ตรอกภานุมาศ,wikidata,M,Q128502775,way
ถนนกัลยาณไมตรี,wikidata,M,Q4921952,way
ถนนกำแพงเพชร,wikidata,M,Q1247122,way
"ถนนกำแพงเพชร 1",wikidata,M,Q1247122,way
"ถนนกำแพงเพชร 2",wikidata,M,Q1247122,way
"ถนนกำแพงเพชร 6",wikidata,M,Q1247122,way
ถนนงามวงศ์วาน,wikidata,M,Q138676343,way
ถนนจรัญสนิทวงศ์,wikidata,M,Q13023208,way
ถนนจักรพงษ์,wikidata,M,Q2035565,way
ถนนจักรพรรดิพงษ์,wikidata,M,Q6636816,way
ถนนดิสมาร์ค,wikidata,M,Q8442,way
ถนนตรีเพชร,wikidata,M,Q6636847,way
ถนนนครปฐม,wikidata,M,Q161389,way
ถนนนครราชสีมา,wikidata,M,Q13022267,way
ถนนนครสวรรค์,wikidata,M,Q461377,way
ถนนนครไชยศรี,wikidata,M,Q13017835,way
ถนนนเรศ,wikidata,M,Q6581586,way
ถนนบริพัตร,wikidata,M,Q461377,way
ถนนประชาธิปก,wikidata,M,Q313124,way
ถนนประดิพัทธ์,wikidata,M,Q138675110,way
ถนนประดิษฐ์มนูธรรม,wikidata,M,Q714934,way
ถนนประเสริฐมนูกิจ,wikidata,M,Q13016727,way
ถนนปั้น,wikidata,M,Q134289011,way
ถนนผลาสินธุ์,wikidata,M,Q13016609,way
ถนนพระพิทักษ์,wikidata,M,Q13017825,way
ถนนพระพิพิธ,wikidata,M,Q13017863,way
ถนนพระยาสุเรนทร์,wikidata,M,Q138683395,way
"ถนนพระราม 9",wikidata,M,Q855252,way
"ถนนพระรามที่ 1",wikidata,M,Q310992,way
"ถนนพระรามที่ 2",wikidata,M,Q319675,way
"ถนนพระรามที่ 3",wikidata,M,Q319669,way
"ถนนพระรามที่ 4",wikidata,M,Q312849,way
"ถนนพระรามที่ 5",wikidata,M,Q158861,way
"ถนนพระรามที่ 6",wikidata,M,Q161389,way
ถนนพหลโยธิน,wikidata,M,Q301290,way
"ถนนพัฒน์พงศ์ 1",wikidata,M,Q130242852,way
"ถนนพัฒน์พงศ์ 2",wikidata,M,Q130242852,way
ถนนพิชัย,wikidata,M,Q4886884,way
ถนนพิบูลสงคราม,wikidata,M,Q152777,way
ถนนยมราชสุขุม,wikidata,M,Q16139035,way
"ถนนยุคล 1",wikidata,M,Q348448,way
"ถนนยุคล 2",wikidata,M,Q348448,way
ถนนรามคำแหง,wikidata,M,Q349249,way
ถนนรามบุตรี,wikidata,M,Q13017880,way
ถนนรามอินทรา,wikidata,M,Q20561513,way
ถนนวุฒากาศ,wikidata,M,Q97226376,way
ถนนศรีธรรมาธิราช,wikidata,M,Q138675599,way
ถนนศิริพงษ์,wikidata,M,Q13017870,way
ถนนศุภมิตร,wikidata,M,Q25538419,way
ถนนสมเด็จพระปิ่นเกล้า,wikidata,M,Q2095882,way
ถนนสมเด็จพระเจ้าตากสิน,wikidata,M,Q320097,way
ถนนสาธุประดิษฐ์,wikidata,M,Q138675582,way
ถนนสารสิน,wikidata,M,Q982335,way
ถนนสุขสวัสดิ์,wikidata,M,Q13017878,way
ถนนสุขุมวิท,wikidata,M,Q30324727,way
"ถนนสุขุมวิท 71",wikidata,M,Q714934,way
ถนนสุทธิสารวินิจฉัย,wikidata,M,Q13017769,way
ถนนสุนทรโกษา,wikidata,M,Q138683242,way
ถนนสุรวงศ์,wikidata,M,Q13024796,way
ถนนสุรศักดิ์,wikidata,M,Q16141369,way
ถนนสุวินทวงศ์,wikidata,M,Q138676200,way
ถนนสุโขทัย,wikidata,M,Q313124,way
ถนนหม่อมเจ้าสง่างามสุประดิษฐ์,wikidata,M,Q16141474,way
ถนนอนุวงศ์,wikidata,M,Q560843,way
ถนนอังรีดูนังต์,wikidata,M,Q12091,way
ถนนอัษฎางค์,wikidata,M,Q13022267,way
ถนนอำนวยสงคราม,wikidata,M,Q138683660,way
ถนนอินทรพิทักษ์,wikidata,M,Q13022242,way
ถนนอุณากรรณ,wikidata,M,Q13017886,way
ถนนอโศก-ดินแดง,wikidata,M,Q855252,way
ถนนอโศกมนตรี,wikidata,M,Q138675565,way
ถนนเจ้าคำรบ,wikidata,M,Q13017707,way
ถนนเจ้าคุณทหาร,wikidata,M,Q16141312,way
"ถนนเฉลิมพระเกียรติ ร.9",wikidata,M,Q855252,way
ถนนเพชรเกษม,wikidata,M,Q28912518,way
ถนนเยาวราช,wikidata,M,Q6636215,way
ถนนแจ้งวัฒนะ,wikidata,M,Q138676324,way
ถนนแพร่งนรา,wikidata,M,Q6581590,way
ถนนแพร่งภูธร,wikidata,M,Q16141004,way
ถนนแพร่งสรรพศาสตร์,wikidata,M,Q13017843,way
สะพานพระพุทธยอดฟ้า,wikidata,M,Q310992,way
"สะพานพระราม 8",wikidata,M,Q248893,way
ซอยแม้นศรี,config,F,,way
"ซอยแม้นศรี 1",config,F,,way
ซอยแม้นศรีร่วมจิตร,config,F,,way
